Tabelle,Feldname,Felddatentyp,Laenge_Zeichen,PK,FK,Referenz,AI,NN,Beschreibung
Tier,Tier_ID,INTEGER,,True,False,,True,True,
Tier,Gehege_ID,INTEGER,,False,True,Gehege,False,True,
Tier,Tier_Art_ID,INTEGER,,False,True,Tier_Art,False,True,
Tier,Tier_ID_(Mutter),INTEGER,,False,True,Tier,False,True,
Tier,Tier_ID_(Vater),INTEGER,,False,True,Tier,False,True,
Tier,Tiername,TEXT,50,False,False,,False,False,
Tier,Geschlecht,TEXT,50,False,False,,False,False,
Tier,Größe,TEXT,50,False,False,,False,False,
Tier,Gewicht,TEXT,50,False,False,,False,False,
Tier,Geburtsdatum,TEXT,50,False,False,,False,False,
Tier,Sterbedatum,TEXT,50,False,False,,False,False,
Tier,Herkunft,TEXT,50,False,False,,False,False,
Tier,im Zoo seit,TEXT,50,False,False,,False,False,
Tier,im Zoo geboren,TEXT,50,False,False,,False,False,
Tier,Bemerkungen,TEXT,50,False,False,,False,False,
Tier,,TEXT,50,False,False,,False,False,
Tier,,TEXT,50,False,False,,False,False,
Gehege,Gehege_ID,INTEGER,,True,False,,True,True,
Gehege,Name des Geheges,TEXT,50,False,False,,False,False,
Gehege,Gehege_Kategorie_ID,INTEGER,,False,True,Gehege_Kategorie,False,True,
Gehege,Größe in m2,TEXT,50,False,False,,False,False,
Gehege,Größe in m3,TEXT,50,False,False,,False,False,
Gehege,Baujahr,TEXT,50,False,False,,False,False,
Gehege,Feld für weitere Bemerkungen,TEXT,50,False,False,,False,False,
Gebäude,Gebäude_ID,INTEGER,,True,False,,True,True,
Gebäude,Gebäudename,TEXT,50,False,False,,False,False,
Gebäude,Himmelsrichtung,TEXT,50,False,False,,False,False,
Gebäude,Row 3,TEXT,50,False,False,,False,False,
Tierpfleger,Tierpfleger_ID,INTEGER,,True,False,,True,True,
Tierpfleger,Mitarbeiternummer,INTEGER,,False,True,Mitarbeiter,False,True,
Tier_Betreuung,Tier_Betreuung_ID,INTEGER,,True,False,,True,True,
Tier_Betreuung,Tierpfleger_ID,INTEGER,,False,True,Tierpfleger,False,True,
Tier_Betreuung,Tier_ID,INTEGER,,False,True,Tier,False,True,
Tier_Betreuung,Beschreibung_Aufgaben,TEXT,50,False,False,,False,False,
Tierpfleger_Spezializierung,Tierpfleger_Spez_ID,INTEGER,,True,False,,True,True,
Tierpfleger_Spezializierung,Tierpfleger_ID,INTEGER,,False,True,Tierpfleger,False,True,
Tierpfleger_Spezializierung,Tier_Art_ID,INTEGER,,False,True,Tier_Art,False,True,
Tierpfleger_Spezializierung,Notiz,TEXT,50,False,False,,False,False,
Tier_Art,Tier_Art_ID,INTEGER,,True,False,,True,True,
Tier_Art,Tier_Gattung_ID,INTEGER,,False,True,Tier_Gattung,False,True,
Tier_Art,Beschreibung,TEXT,50,False,False,,False,False,
Tierpfleger_Vertretung,Tierpfleger_Vertret_ID,INTEGER,,True,False,,True,True,
Tierpfleger_Vertretung,Tierpfleger_ID_(Vertretende),INTEGER,,False,True,Tierpfleger,False,True,
Tierpfleger_Vertretung,Tierpfleger_ID_(Vertreter),INTEGER,,False,True,Tierpfleger,False,True,
Tierpfleger_Vertretung,Grund,TEXT,50,False,False,,False,False,
Tier_Unverträglichkeiten,Tier_Unverträg_ID,INTEGER,,True,False,,True,True,
Tier_Unverträglichkeiten,Tier_ID_(Aggressor),INTEGER,,False,True,Tier,False,True,
Tier_Unverträglichkeiten,Tier_ID_(Leidende),INTEGER,,False,True,Tier,False,True,
Tier_Unverträglichkeiten,Notiz,TEXT,50,False,False,,False,False,
Tier_Lebenslauf,Tier_Lebenslauf_ID,INTEGER,,True,False,,True,True,
Tier_Lebenslauf,Tier_ID,INTEGER,,False,True,Tier,False,True,
Tier_Lebenslauf,,INTEGER,,False,True,Missing_Ref,False,True,
Tier_Lebenslauf,Von,TEXT,50,False,False,,False,False,
Tier_Lebenslauf,Bis,TEXT,50,False,False,,False,False,
Rundweg,Rundweg_ID,INTEGER,,True,False,,True,True,
Rundweg,Wegbezeichnung,TEXT,50,False,False,,False,False,
Rundweg,Länge in Meter,TEXT,50,False,False,,False,False,
Rundweg,Gehdauer in Minuten,TEXT,50,False,False,,False,False,
Rundweg,Barrierefreiheit,TEXT,50,False,False,,False,False,
Externe_ZooWildparks,Externe_ZooPark_ID,INTEGER,,True,False,,True,True,
Externe_ZooWildparks,Name,TEXT,50,False,False,,False,False,
Externe_ZooWildparks,Straße,TEXT,50,False,False,,False,False,
Externe_ZooWildparks,Hausnummer,TEXT,50,False,False,,False,False,
Externe_ZooWildparks,PLZ,TEXT,50,False,False,,False,False,
Externe_ZooWildparks,Ort,TEXT,50,False,False,,False,False,
Externe_ZooWildparks,Ansprechpartner,TEXT,50,False,False,,False,False,
Externe_ZooWildparks,Telephone,TEXT,50,False,False,,False,False,
Externe_ZooWildparks,Email,TEXT,50,False,False,,False,False,
Gehege_Kategorie,Gehege_Kategorie_ID,INTEGER,,True,False,,True,True,
Gehege_Kategorie,Bezeichnung,TEXT,50,False,False,,False,False,
Futter,Futter_ID,INTEGER,,True,False,,True,True,
Futter,Futter_Arten_ID,INTEGER,,False,True,Futter_Arten,False,True,
Futter,Lieferant_ID,INTEGER,,False,True,Lieferant,False,True,
Futter,Futterlager_ID,INTEGER,,False,True,Futterlager,False,True,
Futter,Menge,TEXT,50,False,False,,False,False,
Futter,Konditionen,TEXT,50,False,False,,False,False,
Futter,Rabatt,TEXT,50,False,False,,False,False,
Gehegen_Lokalisation,Gehegen_Lok_ID,INTEGER,,True,False,,True,True,
Gehegen_Lokalisation,Gehege_ID,INTEGER,,False,True,Gehege,False,True,
Gehegen_Lokalisation,Gebäude_ID,INTEGER,,False,True,Gebäude,False,True,
Gehegen_Lokalisation,Position,TEXT,50,False,False,,False,False,
Futter_Arten,Futter_Arten_ID,INTEGER,,True,False,,True,True,
Futter_Arten,Beschreibung,TEXT,50,False,False,,False,False,
Externe_Tierarzt,Externe_Tierarzt_ID,INTEGER,,True,False,,True,True,
Externe_Tierarzt,Person_ID,INTEGER,,False,True,Person,False,True,
Externe_Tierarzt,Praxisname,TEXT,50,False,False,,False,False,
Externe_Tierarzt,Ansprechpartner,TEXT,50,False,False,,False,False,
Externe_Tierarzt,für Zoo tätig seit,TEXT,50,False,False,,False,False,
Externe_Tierarzt,Bankverbindung,TEXT,50,False,False,,False,False,
Tier_Krankenakte,Tier_Krankenakte_ID,INTEGER,,True,False,,True,True,
Tier_Krankenakte,Behandlungsgrund,TEXT,50,False,False,,False,False,
Tier_Krankenakte,Behandlungsdatum,TEXT,50,False,False,,False,False,
Tier_Krankenakte,Befund,TEXT,50,False,False,,False,False,
Tier_Krankenakte,Meldepflicht?,TEXT,50,False,False,,False,False,
Tier_Krankenakte,Medikation,TEXT,50,False,False,,False,False,
Tier_Krankenakte,Bemerkungen zur Behandlung,TEXT,50,False,False,,False,False,
Tier_Krankenakte,Datum der abgeschlossenen Behandlung,TEXT,50,False,False,,False,False,
Tierarzt_Spezializierung,Tierarzt_Spez_ID,INTEGER,,True,False,,True,True,
Tierarzt_Spezializierung,Externe_Tierarzt_ID,INTEGER,,False,True,Externe_Tierarzt,False,True,
Tierarzt_Spezializierung,Tier_Art_ID,INTEGER,,False,True,Tier_Art,False,True,
Tierarzt_Spezializierung,Notiz,TEXT,50,False,False,,False,False,
Tierarzt_Vertretung,Tierarzt_Vertretung_ID,INTEGER,,True,False,,True,True,
Tierarzt_Vertretung,Externe_Tierarzt_ID_(Vertretende),INTEGER,,False,True,Externe_Tierarzt,False,True,
Tierarzt_Vertretung,Externe_Tierarzt_ID_(Vertreter),INTEGER,,False,True,Externe_Tierarzt,False,True,
Tierarzt_Vertretung,Grund,TEXT,50,False,False,,False,False,
Fütterung,Fütterung_ID,INTEGER,,True,False,,True,True,
Fütterung,Tier_ID,INTEGER,,False,True,Tier,False,True,
Fütterung,Futtermischung_ID,INTEGER,,False,True,Futtermischung,False,True,
Fütterung,Datum,TEXT,50,False,False,,False,False,
Fütterung,Uhrzeit,TEXT,50,False,False,,False,False,
Futtermischung,Futtermischung_ID,INTEGER,,True,False,,True,True,
Futtermischung,Notiz,TEXT,50,False,False,,False,False,
Tier_Information_Art,Tier_Info_Art_ID,INTEGER,,True,False,,True,True,
Tier_Information_Art,Tier_Art_ID,INTEGER,,False,True,Tier_Art,False,True,
Tier_Information_Art,Info,TEXT,50,False,False,,False,False,
Tier_Information_Art,Beschreibung,TEXT,50,False,False,,False,False,
Tier_Gattung,Tier_Gattung_ID,INTEGER,,True,False,,True,True,
Tier_Gattung,Beschreibung,TEXT,50,False,False,,False,False,
Besucher,Besucher_ID,INTEGER,,True,False,,True,True,
Besucher,Person_ID,INTEGER,,False,True,Person,False,True,
Besucher,Besucher_Kategorie_ID,INTEGER,,False,True,Besucher_Kategorie,False,True,
Besucher,Bankverbindung,TEXT,50,False,False,,False,False,
Besucher_Kategorie,Besucher_Kategorie_ID,INTEGER,,True,False,,True,True,
Besucher_Kategorie,BesucherTyp,TEXT,50,False,False,,False,False,
Besucher_Kategorie,Beschreibung,TEXT,50,False,False,,False,False,
Besucher_Patenschaft_Art,Besucher_Paten_Art_ID,INTEGER,,True,False,,True,True,
Besucher_Patenschaft_Art,Besucher_ID,INTEGER,,False,True,Besucher,False,True,
Besucher_Patenschaft_Art,Tier_Art_ID,INTEGER,,False,True,Tier_Art,False,True,
Besucher_Patenschaft_Art,Datum,TEXT,50,False,False,,False,False,
Besucher_Patenschaft_Art,Notiz,TEXT,50,False,False,,False,False,
Tier_Information_Gattung,Tier_Info_Gattung_ID,INTEGER,,True,False,,True,True,
Tier_Information_Gattung,Tier_Gattung_ID,INTEGER,,False,True,Tier_Gattung,False,True,
Tier_Information_Gattung,Info,TEXT,50,False,False,,False,False,
Tier_Information_Gattung,Beschreibung,TEXT,50,False,False,,False,False,
Tierarzt_Betreuung,Tierarzt_Betreuung_ID,INTEGER,,True,False,,True,True,
Tierarzt_Betreuung,Externe_Tierarzt_ID,INTEGER,,False,True,Externe_Tierarzt,False,True,
Tierarzt_Betreuung,Tier_ID,INTEGER,,False,True,Tier,False,True,
Tierarzt_Betreuung,Tier_Krankenakte_ID,INTEGER,,False,True,Tier_Krankenakte,False,True,
Futterlager,Futterlager_ID,INTEGER,,True,False,,True,True,
Futterlager,Gebäude_ID,INTEGER,,False,True,Gebäude,False,True,
Futterlager,Beschreibung,TEXT,50,False,False,,False,False,
Besucher_Patenschaft_Tier,Besucher_Paten_Tier_ID,INTEGER,,True,False,,True,True,
Besucher_Patenschaft_Tier,Besucher_ID,INTEGER,,False,True,Besucher,False,True,
Besucher_Patenschaft_Tier,Tier_Gattung_ID,INTEGER,,False,True,Tier_Gattung,False,True,
Besucher_Patenschaft_Tier,Datum,TEXT,50,False,False,,False,False,
Besucher_Patenschaft_Tier,Notiz,TEXT,50,False,False,,False,False,
Spende_PatenArt_Einmalig,Spende_PatenArt_Ein_ID,INTEGER,,True,False,,True,True,
Spende_PatenArt_Einmalig,Besucher_Paten_Art_ID,INTEGER,,False,True,Besucher_Patenschaft_Art,False,True,
Spende_PatenArt_Einmalig,Betrag,TEXT,50,False,False,,False,False,
Spende_PatenArt_Einmalig,Datum,TEXT,50,False,False,,False,False,
Spende_PatenGattung_Einmalig,Spende_PatenTier_Ein_ID,INTEGER,,True,False,,True,True,
Spende_PatenGattung_Einmalig,Besucher_Paten_Tier_ID,INTEGER,,False,True,Besucher_Patenschaft_Tier,False,True,
Spende_PatenGattung_Einmalig,Betrag,TEXT,50,False,False,,False,False,
Spende_PatenGattung_Einmalig,Datum,TEXT,50,False,False,,False,False,
Rundweg_Lokalisation,Rundweg_Lok_ID,INTEGER,,True,False,,True,True,
Rundweg_Lokalisation,Rundweg_ID,INTEGER,,False,True,Rundweg,False,True,
Rundweg_Lokalisation,Gehege_ID_(start),INTEGER,,False,True,Gehege,False,True,
Rundweg_Lokalisation,Gehege_ID_(ende),INTEGER,,False,True,Gehege,False,True,
Rundweg_Lokalisation,Position,TEXT,50,False,False,,False,False,
Rundweg_Information,Rundweg_Info_ID,INTEGER,,True,False,,True,True,
Rundweg_Information,Rundweg_ID,INTEGER,,False,True,Rundweg,False,True,
Rundweg_Information,Info,TEXT,50,False,False,,False,False,
Rundweg_Information,Beschreibung,TEXT,50,False,False,,False,False,
Person,Person_ID,INTEGER,,True,False,,True,True,
Person,Anrede,TEXT,50,False,False,,False,False,
Person,Titel,TEXT,50,False,False,,False,False,
Person,Vorname,TEXT,50,False,False,,False,False,
Person,Nachname,TEXT,50,False,False,,False,False,
Person,Straße,TEXT,50,False,False,,False,False,
Person,Hausnummer,TEXT,50,False,False,,False,False,
Person,PLZ,TEXT,50,False,False,,False,False,
Person,Ort,TEXT,50,False,False,,False,False,
Person,Telefon Festnetz,TEXT,50,False,False,,False,False,
Person,Telefon Mobil,TEXT,50,False,False,,False,False,
Person,Faxnummer,TEXT,50,False,False,,False,False,
Person,E-Mail,TEXT,50,False,False,,False,False,
Person,Bemerkungen,TEXT,50,False,False,,False,False,
Spende_PatenArt_Periodisch,Spende_PatenArt_Per_ID,INTEGER,,True,False,,True,True,
Spende_PatenArt_Periodisch,Besucher_Paten_Art_ID,INTEGER,,False,True,Besucher_Patenschaft_Art,False,True,
Spende_PatenArt_Periodisch,Betrag,TEXT,50,False,False,,False,False,
Spende_PatenArt_Periodisch,Datum,TEXT,50,False,False,,False,False,
Spende_PatenArt_Periodisch,Wiederholungszeitraum,TEXT,50,False,False,,False,False,
Spende_PatenGattung_Periodisch,Spende_PatenTier_Per_ID,INTEGER,,True,False,,True,True,
Spende_PatenGattung_Periodisch,Besucher_Paten_Tier_ID,INTEGER,,False,True,Besucher_Patenschaft_Tier,False,True,
Spende_PatenGattung_Periodisch,Betrag,TEXT,50,False,False,,False,False,
Spende_PatenGattung_Periodisch,Datum,TEXT,50,False,False,,False,False,
Spende_PatenGattung_Periodisch,Wiederholungszeitraum,TEXT,50,False,False,,False,False,
Futterlagerbestand_Historie,Futterlager_Historie_ID,INTEGER,,True,False,,True,True,
Futterlagerbestand_Historie,Futterlagerbestand_ID,INTEGER,,False,True,Futterlagerbestand,False,True,
Futterlagerbestand_Historie,Bestand,TEXT,50,False,False,,False,False,
Futterlagerbestand_Historie,Datum,TEXT,50,False,False,,False,False,
Futterlagerbestand_Historie,Uhrzeit,TEXT,50,False,False,,False,False,
Futterlagerbestand,Futterlagerbestand_ID,INTEGER,,True,False,,True,True,
Futterlagerbestand,Futterlager_ID,INTEGER,,False,True,Futterlager,False,True,
Futterlagerbestand,Futter_Arten_ID,INTEGER,,False,True,Futter_Arten,False,True,
Futterlagerbestand,Meldebestände,TEXT,50,False,False,,False,False,
Lieferant,Lieferant_ID,INTEGER,,True,False,,True,True,
Lieferant,Person_ID,INTEGER,,False,True,Person,False,True,
Lieferant,Firmenname,TEXT,50,False,False,,False,False,
Lieferant,Ansprechpartner,TEXT,50,False,False,,False,False,
Lieferant,für Zoo tätig seit,TEXT,50,False,False,,False,False,
Lieferant,Bankverbindung,TEXT,50,False,False,,False,False,
Lieferant,Umsatzsteuernummer,TEXT,50,False,False,,False,False,
Mitarbeiter,Mitarbeiternummer,INTEGER,,True,False,,True,True,
Mitarbeiter,Person_ID,INTEGER,,False,True,Person,False,True,
Mitarbeiter,Beschäftigung seit,TEXT,50,False,False,,False,False,
Mitarbeiter,Geburtsdatum,TEXT,50,False,False,,False,False,
Mitarbeiter,Geburtsort,TEXT,50,False,False,,False,False,
Mitarbeiter,Nationalität,TEXT,50,False,False,,False,False,
Mitarbeiter,soz. Status,TEXT,50,False,False,,False,False,
Mitarbeiter,Lohnsteuerklasse,TEXT,50,False,False,,False,False,
Futtermischung_Position,Futtermischung_Pos_ID,INTEGER,,True,False,,True,True,
Futtermischung_Position,Futtermischung_ID,TEXT,50,False,False,,False,False,
Futtermischung_Position,Futter_ID,TEXT,50,False,False,,False,False,
Futtermischung_Position,Menge,TEXT,50,False,False,,False,False,
Tier_Lokalisation,Tier_Lok_ID,INTEGER,,True,False,,True,True,
Tier_Lokalisation,Tier_ID,INTEGER,,False,True,Tier,False,True,
Tier_Lokalisation,Gehege_ID,INTEGER,,False,True,Gehege,False,True,
Tier_Lokalisation,Von,TEXT,50,False,False,,False,False,
Tier_Lokalisation,Bis,TEXT,50,False,False,,False,False,
Tier_Lokalisation,Notiz,TEXT,50,False,False,,False,False,
ref_Gewicht,Einheit_Gewicht_ID,INTEGER,,True,False,,True,True,
ref_Gewicht,Einheit,TEXT,50,False,False,,False,False,
ref_Groesse,Einheit_Groesse_ID,INTEGER,,True,False,,True,True,
ref_Groesse,Einheit,TEXT,50,False,False,,False,False,
ref_Lagereinheit,LAgereinheit_ID,INTEGER,,True,False,,True,True,
ref_Lagereinheit,Einheit,TEXT,50,False,False,,False,False,
ref_Einheit_Gehege,Einheit_Gehege_ID,INTEGER,,True,False,,True,True,
ref_Einheit_Gehege,Einheit,TEXT,50,False,False,,False,False,
